"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","country"
"1",0.849,0.424,5,-9.579,0,0.324,0.0635,0,0.0834,0.153,145.887,"audio_features","2BcMwX1MPV6ZHP4tUT9uq6","spotify:track:2BcMwX1MPV6ZHP4tUT9uq6","https://api.spotify.com/v1/tracks/2BcMwX1MPV6ZHP4tUT9uq6","https://api.spotify.com/v1/audio-analysis/2BcMwX1MPV6ZHP4tUT9uq6",242966,4,"US"
"2",0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,"audio_features","1zi7xx7UVEFkmKfv06H8x0","spotify:track:1zi7xx7UVEFkmKfv06H8x0","https://api.spotify.com/v1/tracks/1zi7xx7UVEFkmKfv06H8x0","https://api.spotify.com/v1/audio-analysis/1zi7xx7UVEFkmKfv06H8x0",173987,4,"US"
"3",0.666,0.465,1,-8.545,1,0.26,0.0503,0,0.215,0.292,167.937,"audio_features","40iJIUlhi6renaREYGeIDS","spotify:track:40iJIUlhi6renaREYGeIDS","https://api.spotify.com/v1/tracks/40iJIUlhi6renaREYGeIDS","https://api.spotify.com/v1/audio-analysis/40iJIUlhi6renaREYGeIDS",291175,4,"US"
"4",0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,"audio_features","0k1WUmIRnG3xU6fvvDVfRG","spotify:track:0k1WUmIRnG3xU6fvvDVfRG","https://api.spotify.com/v1/tracks/0k1WUmIRnG3xU6fvvDVfRG","https://api.spotify.com/v1/audio-analysis/0k1WUmIRnG3xU6fvvDVfRG",257605,4,"US"
"5",0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,"audio_features","65OVbaJR5O1RmwOQx0875b","spotify:track:65OVbaJR5O1RmwOQx0875b","https://api.spotify.com/v1/tracks/65OVbaJR5O1RmwOQx0875b","https://api.spotify.com/v1/audio-analysis/65OVbaJR5O1RmwOQx0875b",192956,4,"US"
"6",0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,"audio_features","5mCPDVBb16L4XQwDdbRUpz","spotify:track:5mCPDVBb16L4XQwDdbRUpz","https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz","https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz",298941,4,"US"
"7",0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,"audio_features","6DCZcSspjsKoFjzjrWoCdn","spotify:track:6DCZcSspjsKoFjzjrWoCdn","https://api.spotify.com/v1/tracks/6DCZcSspjsKoFjzjrWoCdn","https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn",198973,4,"US"
"8",0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,"audio_features","2SAqBLGA283SUiwJ3xOUVI","spotify:track:2SAqBLGA283SUiwJ3xOUVI","https://api.spotify.com/v1/tracks/2SAqBLGA283SUiwJ3xOUVI","https://api.spotify.com/v1/audio-analysis/2SAqBLGA283SUiwJ3xOUVI",261493,4,"US"
"9",0.767,0.438,7,-8.726,0,0.29,0.181,0,0.142,0.381,86.975,"audio_features","37Nqx7iavZpotJSDXZWbJ3","spotify:track:37Nqx7iavZpotJSDXZWbJ3","https://api.spotify.com/v1/tracks/37Nqx7iavZpotJSDXZWbJ3","https://api.spotify.com/v1/audio-analysis/37Nqx7iavZpotJSDXZWbJ3",221980,4,"US"
"10",0.963,0.346,5,-9.309,0,0.53,0.0355,0,0.108,0.562,119.957,"audio_features","6vN77lE9LK6HP2DewaN6HZ","spotify:track:6vN77lE9LK6HP2DewaN6HZ","https://api.spotify.com/v1/tracks/6vN77lE9LK6HP2DewaN6HZ","https://api.spotify.com/v1/audio-analysis/6vN77lE9LK6HP2DewaN6HZ",142273,4,"US"
