"","disc_number","duration_ms","explicit","href","id","is_local","is_playable","name","popularity","preview_url","track_number","type","uri","album.album_type","album.href","album.id","album.name","album.release_date","album.release_date_precision","album.total_tracks","album.type","album.uri","album.external_urls.spotify","external_ids.isrc","external_urls.spotify","genre","country","restrictions.reason"
"1",1,120026,TRUE,"https://api.spotify.com/v1/tracks/5TXDeTFVRVY7Cvt0Dw4vWW","5TXDeTFVRVY7Cvt0Dw4vWW",FALSE,TRUE,"Revenge",84,"https://p.scdn.co/mp3-preview/f5096665f4f47142d704ee0ce47a8df26d256ad8?cid=2c522ebeb84f4aa189ec93288a41d97f",5,"track","spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW","album","https://api.spotify.com/v1/albums/5VdyJkLe3yvOs0l4xXbWp0","5VdyJkLe3yvOs0l4xXbWp0","17","2017-08-25","day",11,"album","spotify:album:5VdyJkLe3yvOs0l4xXbWp0","https://open.spotify.com/album/5VdyJkLe3yvOs0l4xXbWp0","USUYG1156895","https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW","rap","IN",NA
"2",1,110886,TRUE,"https://api.spotify.com/v1/tracks/2ZRo7axmMPeSVUvDbGkJah","2ZRo7axmMPeSVUvDbGkJah",FALSE,TRUE,"Hope",83,NA,16,"track","spotify:track:2ZRo7axmMPeSVUvDbGkJah","album","https://api.spotify.com/v1/albums/2Ti79nwTsont5ZHfdxIzAm","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","day",18,"album","spotify:album:2Ti79nwTsont5ZHfdxIzAm","https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","USUG11800447","https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah","rap","IN",NA
"3",1,119133,TRUE,"https://api.spotify.com/v1/tracks/7m9OqQk4RVRkw9JJdeAw96","7m9OqQk4RVRkw9JJdeAw96",FALSE,TRUE,"Jocelyn Flores",82,"https://p.scdn.co/mp3-preview/99ae2de8b5e6c95349a9775948f65a331ca2a329?cid=2c522ebeb84f4aa189ec93288a41d97f",2,"track","spotify:track:7m9OqQk4RVRkw9JJdeAw96","album","https://api.spotify.com/v1/albums/5VdyJkLe3yvOs0l4xXbWp0","5VdyJkLe3yvOs0l4xXbWp0","17","2017-08-25","day",11,"album","spotify:album:5VdyJkLe3yvOs0l4xXbWp0","https://open.spotify.com/album/5VdyJkLe3yvOs0l4xXbWp0","USUYG1156892","https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96","rap","IN",NA
"4",1,95466,TRUE,"https://api.spotify.com/v1/tracks/3GVkPk8mqxz0itaAriG1L7","3GVkPk8mqxz0itaAriG1L7",FALSE,TRUE,"Everybody Dies In Their Nightmares",82,"https://p.scdn.co/mp3-preview/245bdb86c13c1a8eee8fdb4f4a82111d6bf0a3fb?cid=2c522ebeb84f4aa189ec93288a41d97f",4,"track","spotify:track:3GVkPk8mqxz0itaAriG1L7","album","https://api.spotify.com/v1/albums/5VdyJkLe3yvOs0l4xXbWp0","5VdyJkLe3yvOs0l4xXbWp0","17","2017-08-25","day",11,"album","spotify:album:5VdyJkLe3yvOs0l4xXbWp0","https://open.spotify.com/album/5VdyJkLe3yvOs0l4xXbWp0","USUYG1156894","https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7","rap","IN",NA
"5",1,166605,TRUE,"https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2","3ee8Jmje8o58CHK66QrVC2",FALSE,TRUE,"SAD!",81,NA,4,"track","spotify:track:3ee8Jmje8o58CHK66QrVC2","album","https://api.spotify.com/v1/albums/2Ti79nwTsont5ZHfdxIzAm","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","day",18,"album","spotify:album:2Ti79nwTsont5ZHfdxIzAm","https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","USUG11800208","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","rap","IN",NA
"6",1,146520,TRUE,"https://api.spotify.com/v1/tracks/7AQim7LbvFVZJE3O8TYgf2","7AQim7LbvFVZJE3O8TYgf2",FALSE,TRUE,"Fuck Love (feat. Trippie Redd)",81,"https://p.scdn.co/mp3-preview/c82958b8b135299e17cb3465048032e6dc7fc98e?cid=2c522ebeb84f4aa189ec93288a41d97f",8,"track","spotify:track:7AQim7LbvFVZJE3O8TYgf2","album","https://api.spotify.com/v1/albums/5VdyJkLe3yvOs0l4xXbWp0","5VdyJkLe3yvOs0l4xXbWp0","17","2017-08-25","day",11,"album","spotify:album:5VdyJkLe3yvOs0l4xXbWp0","https://open.spotify.com/album/5VdyJkLe3yvOs0l4xXbWp0","USUYG1156898","https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2","rap","IN",NA
"7",1,135090,TRUE,"https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL","0JP9xo3adEtGSdUEISiszL",FALSE,TRUE,"Moonlight",81,NA,3,"track","spotify:track:0JP9xo3adEtGSdUEISiszL","album","https://api.spotify.com/v1/albums/2Ti79nwTsont5ZHfdxIzAm","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","day",18,"album","spotify:album:2Ti79nwTsont5ZHfdxIzAm","https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","USUG11800209","https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL","rap","IN",NA
"8",1,126345,TRUE,"https://api.spotify.com/v1/tracks/7floNISpH8VF4z4459Qo18","7floNISpH8VF4z4459Qo18",FALSE,TRUE,"Look At Me!",80,"https://p.scdn.co/mp3-preview/8e7a9bbc76e20e3f5020c0420a9c0a1e63634bac?cid=2c522ebeb84f4aa189ec93288a41d97f",1,"track","spotify:track:7floNISpH8VF4z4459Qo18","single","https://api.spotify.com/v1/albums/3cyyJALrHc8LawnQNFYRWL","3cyyJALrHc8LawnQNFYRWL","Look At Me!","2017-02-20","day",1,"album","spotify:album:3cyyJALrHc8LawnQNFYRWL","https://open.spotify.com/album/3cyyJALrHc8LawnQNFYRWL","USUYG1131080","https://open.spotify.com/track/7floNISpH8VF4z4459Qo18","rap","IN",NA
"9",1,196400,TRUE,"https://api.spotify.com/v1/tracks/4jvjzW7Hm0yK4LvvE0Paz9","4jvjzW7Hm0yK4LvvE0Paz9",FALSE,TRUE,"Falling Down - Bonus Track",79,"https://p.scdn.co/mp3-preview/8a9e321cb7e061b3dcbd79fac08ace53450471e7?cid=2c522ebeb84f4aa189ec93288a41d97f",12,"track","spotify:track:4jvjzW7Hm0yK4LvvE0Paz9","album","https://api.spotify.com/v1/albums/52JymrguPgkmmwLaWIusst","52JymrguPgkmmwLaWIusst","Come Over When You're Sober, Pt. 2","2018-11-09","day",13,"album","spotify:album:52JymrguPgkmmwLaWIusst","https://open.spotify.com/album/52JymrguPgkmmwLaWIusst","USQX91802294","https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9","rap","IN",NA
"10",1,160184,TRUE,"https://api.spotify.com/v1/tracks/4UKCKdYiLN6IMA5ZESUTL7","4UKCKdYiLN6IMA5ZESUTL7",FALSE,TRUE,"the remedy for a broken heart (why am I so in love)",78,NA,5,"track","spotify:track:4UKCKdYiLN6IMA5ZESUTL7","album","https://api.spotify.com/v1/albums/2Ti79nwTsont5ZHfdxIzAm","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","day",18,"album","spotify:album:2Ti79nwTsont5ZHfdxIzAm","https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","USUG11800488","https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7","rap","IN",NA
"11",1,239835,TRUE,"https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR","285pBltuF7vW8TeWk8hdRR",FALSE,TRUE,"Lucid Dreams",83,NA,3,"track","spotify:track:285pBltuF7vW8TeWk8hdRR","album","https://api.spotify.com/v1/albums/6tkjU4Umpo79wwkgPMV3nZ","6tkjU4Umpo79wwkgPMV3nZ","Goodbye & Good Riddance","2018-12-10","day",17,"album","spotify:album:6tkjU4Umpo79wwkgPMV3nZ","https://open.spotify.com/album/6tkjU4Umpo79wwkgPMV3nZ","USUG11800685","https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR","rap","IN",NA
