"","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","genre","based","country","local","localprop"
"1","Jul",84,"artist","spotify:artist:3IW7ScrzXmPvZhB27hmfgy","https://open.spotify.com/artist/3IW7ScrzXmPvZhB27hmfgy",NA,5254889,"rap","France","FR",TRUE,0.9
"2","Damso",81,"artist","spotify:artist:2UwqpfQtNuhBwviIC0f2ie","https://open.spotify.com/artist/2UwqpfQtNuhBwviIC0f2ie",NA,3557933,"rap","France","FR",TRUE,0.9
"3","Naps",78,"artist","spotify:artist:6W5uA6CNMf3hd2j4a2XWCx","https://open.spotify.com/artist/6W5uA6CNMf3hd2j4a2XWCx",NA,1842185,"rap","France","FR",TRUE,0.9
"4","Orelsan",76,"artist","spotify:artist:4FpJcNgOvIpSBeJgRg3OfN","https://open.spotify.com/artist/4FpJcNgOvIpSBeJgRg3OfN",NA,1755566,"rap","France","FR",TRUE,0.9
"5","Gazo",77,"artist","spotify:artist:5gqmbbfjcikQBzPB5Hv13I","https://open.spotify.com/artist/5gqmbbfjcikQBzPB5Hv13I",NA,403087,"rap","France","FR",TRUE,0.9
"6","Nekfeu",76,"artist","spotify:artist:4LXBc13z5EWsc5N32bLxfH","https://open.spotify.com/artist/4LXBc13z5EWsc5N32bLxfH",NA,2114887,"rap","France","FR",TRUE,0.9
"7","Djadja & Dinaz",74,"artist","spotify:artist:5hREZP0zTQbTLkZ2M8RS4v","https://open.spotify.com/artist/5hREZP0zTQbTLkZ2M8RS4v",NA,1832710,"rap","France","FR",TRUE,0.9
"8","PLK",76,"artist","spotify:artist:3DCWeG2J1fZeu0Oe6i5Q6m","https://open.spotify.com/artist/3DCWeG2J1fZeu0Oe6i5Q6m",NA,1094769,"rap","France","FR",TRUE,0.9
"9","SCH",75,"artist","spotify:artist:2kXKa3aAFngGz2P4GjG5w2","https://open.spotify.com/artist/2kXKa3aAFngGz2P4GjG5w2",NA,1564211,"rap","France","FR",TRUE,0.9
"10","Josman",74,"artist","spotify:artist:6dbdXbyAWk2qx8Qttw0knR","https://open.spotify.com/artist/6dbdXbyAWk2qx8Qttw0knR",NA,525602,"rap","France","FR",TRUE,0.9
"11","Koba LaD",74,"artist","spotify:artist:1q7T9rFQ2a2ukA1PU51fo3","https://open.spotify.com/artist/1q7T9rFQ2a2ukA1PU51fo3",NA,2480178,"rap","France","FR",TRUE,0.9
"12","Booba",73,"artist","spotify:artist:58wXmynHaAWI5hwlPZP3qL","https://open.spotify.com/artist/58wXmynHaAWI5hwlPZP3qL",NA,2422037,"rap","France","FR",TRUE,0.9
"13","Niska",74,"artist","spotify:artist:7CUFPNi1TU8RowpnFRSsZV","https://open.spotify.com/artist/7CUFPNi1TU8RowpnFRSsZV",NA,4155154,"rap","France","FR",TRUE,0.9
"14","Maes",73,"artist","spotify:artist:6L34dW6SKMSDaGIfYDU19j","https://open.spotify.com/artist/6L34dW6SKMSDaGIfYDU19j",NA,1950612,"rap","France","FR",TRUE,0.9
"15","Vald",72,"artist","spotify:artist:3CnCGFxXbOA8bAK54jR8js","https://open.spotify.com/artist/3CnCGFxXbOA8bAK54jR8js",NA,1136537,"rap","France","FR",TRUE,0.9
"16","Soolking",74,"artist","spotify:artist:0GgY7hjMoGDsX8ZDe2mwds","https://open.spotify.com/artist/0GgY7hjMoGDsX8ZDe2mwds",NA,3155059,"rap","Algeria","FR",FALSE,0.9
"17","Disiz",71,"artist","spotify:artist:7rz6ZZErn5YFDteXKhyf3g","https://open.spotify.com/artist/7rz6ZZErn5YFDteXKhyf3g",NA,229200,"rap","France","FR",TRUE,0.9
"18","Green Montana",71,"artist","spotify:artist:0zhMujl1yB8pkB023Qm4Y2","https://open.spotify.com/artist/0zhMujl1yB8pkB023Qm4Y2",NA,66248,"rap","France","FR",TRUE,0.9
"19","GIMS",75,"artist","spotify:artist:0GOx72r5AAEKRGQFn3xqXK","https://open.spotify.com/artist/0GOx72r5AAEKRGQFn3xqXK",NA,3413728,"rap","France","FR",TRUE,0.9
