"","id","disc_number","duration_ms.x","explicit","href","is_local","is_playable","name","popularity","preview_url","track_number","type.x","uri.x","album.album_type","album.href","album.id","album.name","album.release_date","album.release_date_precision","album.total_tracks","album.type","album.uri","album.external_urls.spotify","external_ids.isrc","external_urls.spotify","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type.y","uri.y","track_href","analysis_url","duration_ms.y","time_signature","genre2","albumpop"
"1","027269uzraETHuoG6aMs6a",1,228440,FALSE,"https://api.spotify.com/v1/tracks/027269uzraETHuoG6aMs6a",FALSE,TRUE,"Waves",65,NA,13,"track","spotify:track:027269uzraETHuoG6aMs6a","album","https://api.spotify.com/v1/albums/1Trg5OuUpkNFLF21HdbOg6","1Trg5OuUpkNFLF21HdbOg6","Born Here Live Here Die Here (Deluxe Edition)","2021-04-09","day",16,"album","spotify:album:1Trg5OuUpkNFLF21HdbOg6","https://open.spotify.com/album/1Trg5OuUpkNFLF21HdbOg6","USUG12100296","https://open.spotify.com/track/027269uzraETHuoG6aMs6a","country",0.494,0.771,1,-4.309,1,0.0626,0.0649,0,0.11,0.371,136.053,"audio_features","spotify:track:027269uzraETHuoG6aMs6a","https://api.spotify.com/v1/tracks/027269uzraETHuoG6aMs6a","https://api.spotify.com/v1/audio-analysis/027269uzraETHuoG6aMs6a",228440,4,"country",68
"2","02eD9ymfJOJOhM97HYp5R9",1,236626,FALSE,"https://api.spotify.com/v1/tracks/02eD9ymfJOJOhM97HYp5R9",FALSE,TRUE,"The House That Built Me",65,"https://p.scdn.co/mp3-preview/4b4c0f2e420af16e3f4c3bca680cb7ad23149c03?cid=2c522ebeb84f4aa189ec93288a41d97f",10,"track","spotify:track:02eD9ymfJOJOhM97HYp5R9","album","https://api.spotify.com/v1/albums/3uczBfJFFSNjSiF8ScC1pA","3uczBfJFFSNjSiF8ScC1pA","Revolution","2009-09-24","day",15,"album","spotify:album:3uczBfJFFSNjSiF8ScC1pA","https://open.spotify.com/album/3uczBfJFFSNjSiF8ScC1pA","USG4X0900074","https://open.spotify.com/track/02eD9ymfJOJOhM97HYp5R9","country",0.525,0.3,5,-8.005,1,0.0286,0.578,8.3e-06,0.116,0.206,80.993,"audio_features","spotify:track:02eD9ymfJOJOhM97HYp5R9","https://api.spotify.com/v1/tracks/02eD9ymfJOJOhM97HYp5R9","https://api.spotify.com/v1/audio-analysis/02eD9ymfJOJOhM97HYp5R9",236627,4,"country",67
"3","03fT3OHB9KyMtGMt2zwqCT",1,226866,FALSE,"https://api.spotify.com/v1/tracks/03fT3OHB9KyMtGMt2zwqCT",FALSE,TRUE,"Play It Again",72,NA,9,"track","spotify:track:03fT3OHB9KyMtGMt2zwqCT","album","https://api.spotify.com/v1/albums/5M8gr5RV2eR6UkztC69ogB","5M8gr5RV2eR6UkztC69ogB","Crash My Party","2013-01-01","day",13,"album","spotify:album:5M8gr5RV2eR6UkztC69ogB","https://open.spotify.com/album/5M8gr5RV2eR6UkztC69ogB","USUM71307712","https://open.spotify.com/track/03fT3OHB9KyMtGMt2zwqCT","country",0.506,0.886,11,-3.225,1,0.0655,0.0916,0,0.0734,0.595,143.935,"audio_features","spotify:track:03fT3OHB9KyMtGMt2zwqCT","https://api.spotify.com/v1/tracks/03fT3OHB9KyMtGMt2zwqCT","https://api.spotify.com/v1/audio-analysis/03fT3OHB9KyMtGMt2zwqCT",226867,4,"country",76
"4","06gD2ZtK3Dzc1BYqWExQJJ",1,180906,FALSE,"https://api.spotify.com/v1/tracks/06gD2ZtK3Dzc1BYqWExQJJ",FALSE,TRUE,"Broken Halos",70,NA,1,"track","spotify:track:06gD2ZtK3Dzc1BYqWExQJJ","album","https://api.spotify.com/v1/albums/5L0e8X6Mf9lfjs2miK2WUB","5L0e8X6Mf9lfjs2miK2WUB","From A Room: Volume 1","2017-05-05","day",9,"album","spotify:album:5L0e8X6Mf9lfjs2miK2WUB","https://open.spotify.com/album/5L0e8X6Mf9lfjs2miK2WUB","USUM71701961","https://open.spotify.com/track/06gD2ZtK3Dzc1BYqWExQJJ","country",0.613,0.564,8,-7.085,1,0.0251,0.134,1.65e-06,0.0585,0.538,78.388,"audio_features","spotify:track:06gD2ZtK3Dzc1BYqWExQJJ","https://api.spotify.com/v1/tracks/06gD2ZtK3Dzc1BYqWExQJJ","https://api.spotify.com/v1/audio-analysis/06gD2ZtK3Dzc1BYqWExQJJ",180907,4,"country",73
"5","0B0y2FImat9j9MJTNRZWfW",1,247826,FALSE,"https://api.spotify.com/v1/tracks/0B0y2FImat9j9MJTNRZWfW",FALSE,TRUE,"Automatic",62,"https://p.scdn.co/mp3-preview/f5c88863e93c58b626b2aec4769553c6572c4d40?cid=2c522ebeb84f4aa189ec93288a41d97f",6,"track","spotify:track:0B0y2FImat9j9MJTNRZWfW","album","https://api.spotify.com/v1/albums/4ZnIw6llQFlXcFgjMNtrTw","4ZnIw6llQFlXcFgjMNtrTw","Platinum","2014-06-02","day",16,"album","spotify:album:4ZnIw6llQFlXcFgjMNtrTw","https://open.spotify.com/album/4ZnIw6llQFlXcFgjMNtrTw","USRN11300239","https://open.spotify.com/track/0B0y2FImat9j9MJTNRZWfW","country",0.591,0.703,10,-6.211,1,0.0256,0.0435,2.34e-06,0.145,0.402,95.993,"audio_features","spotify:track:0B0y2FImat9j9MJTNRZWfW","https://api.spotify.com/v1/tracks/0B0y2FImat9j9MJTNRZWfW","https://api.spotify.com/v1/audio-analysis/0B0y2FImat9j9MJTNRZWfW",247827,4,"country",69
"6","0B8QzDH7YWih85V5SEMnyJ",1,198944,TRUE,"https://api.spotify.com/v1/tracks/0B8QzDH7YWih85V5SEMnyJ",FALSE,TRUE,"Money Longer",73,"https://p.scdn.co/mp3-preview/319183cfc0c6b7e032f0bdbc58a93c023b45bb02?cid=2c522ebeb84f4aa189ec93288a41d97f",3,"track","spotify:track:0B8QzDH7YWih85V5SEMnyJ","album","https://api.spotify.com/v1/albums/7mgdTKTCdfnLoa1HXHvLYM","7mgdTKTCdfnLoa1HXHvLYM","Lil Uzi Vert vs. The World","2016-05-27","day",9,"album","spotify:album:7mgdTKTCdfnLoa1HXHvLYM","https://open.spotify.com/album/7mgdTKTCdfnLoa1HXHvLYM","USAT21600660","https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ","rap",0.795,0.568,5,-7.817,0,0.142,0.0541,0,0.108,0.478,136.173,"audio_features","spotify:track:0B8QzDH7YWih85V5SEMnyJ","https://api.spotify.com/v1/tracks/0B8QzDH7YWih85V5SEMnyJ","https://api.spotify.com/v1/audio-analysis/0B8QzDH7YWih85V5SEMnyJ",198944,4,"rap",77
"7","0BCy325UZyR9z0t0uxwn2N",1,194186,FALSE,"https://api.spotify.com/v1/tracks/0BCy325UZyR9z0t0uxwn2N",FALSE,TRUE,"H.O.L.Y.",68,NA,4,"track","spotify:track:0BCy325UZyR9z0t0uxwn2N","album","https://api.spotify.com/v1/albums/09KOjaflTBRE28GVvXqkYC","09KOjaflTBRE28GVvXqkYC","Dig Your Roots","2016-08-26","day",15,"album","spotify:album:09KOjaflTBRE28GVvXqkYC","https://open.spotify.com/album/09KOjaflTBRE28GVvXqkYC","QM3E21602008","https://open.spotify.com/track/0BCy325UZyR9z0t0uxwn2N","country",0.523,0.666,7,-4.081,0,0.0327,0.401,0,0.0728,0.564,78.077,"audio_features","spotify:track:0BCy325UZyR9z0t0uxwn2N","https://api.spotify.com/v1/tracks/0BCy325UZyR9z0t0uxwn2N","https://api.spotify.com/v1/audio-analysis/0BCy325UZyR9z0t0uxwn2N",194187,4,"country",73
"8","0dbzWSYpMcRtwjI1S7Pkql",1,278613,FALSE,"https://api.spotify.com/v1/tracks/0dbzWSYpMcRtwjI1S7Pkql",FALSE,TRUE,"Huntin', Fishin' And Lovin' Every Day",64,NA,12,"track","spotify:track:0dbzWSYpMcRtwjI1S7Pkql","album","https://api.spotify.com/v1/albums/0WtCqmpVN7rRGfDMSWSXBA","0WtCqmpVN7rRGfDMSWSXBA","Kill The Lights (Deluxe)","2015-08-07","day",16,"album","spotify:album:0WtCqmpVN7rRGfDMSWSXBA","https://open.spotify.com/album/0WtCqmpVN7rRGfDMSWSXBA","USUM71508382","https://open.spotify.com/track/0dbzWSYpMcRtwjI1S7Pkql","country",0.543,0.81,0,-4.275,1,0.0368,0.14,1.23e-05,0.145,0.395,76.978,"audio_features","spotify:track:0dbzWSYpMcRtwjI1S7Pkql","https://api.spotify.com/v1/tracks/0dbzWSYpMcRtwjI1S7Pkql","https://api.spotify.com/v1/audio-analysis/0dbzWSYpMcRtwjI1S7Pkql",278613,4,"country",71
"9","0i5el041vd6nxrGEU8QRxy",1,208960,FALSE,"https://api.spotify.com/v1/tracks/0i5el041vd6nxrGEU8QRxy",FALSE,TRUE,"Cruise",70,NA,1,"track","spotify:track:0i5el041vd6nxrGEU8QRxy","album","https://api.spotify.com/v1/albums/5MH765pytbQasmDxXArTah","5MH765pytbQasmDxXArTah","Here's To The Good Times","2012-01-01","day",11,"album","spotify:album:5MH765pytbQasmDxXArTah","https://open.spotify.com/album/5MH765pytbQasmDxXArTah","USUM71207991","https://open.spotify.com/track/0i5el041vd6nxrGEU8QRxy","country",0.457,0.948,10,-3.364,1,0.0354,0.0191,0,0.0536,0.878,148,"audio_features","spotify:track:0i5el041vd6nxrGEU8QRxy","https://api.spotify.com/v1/tracks/0i5el041vd6nxrGEU8QRxy","https://api.spotify.com/v1/audio-analysis/0i5el041vd6nxrGEU8QRxy",208960,4,"country",73
"10","0Is8zshpnWUiFQJIYAMrQN",1,197226,FALSE,"https://api.spotify.com/v1/tracks/0Is8zshpnWUiFQJIYAMrQN",FALSE,TRUE,"Crooked Teeth",64,"https://p.scdn.co/mp3-preview/3a87222879e4f4c467fcd617a51b541fc0eab851?cid=2c522ebeb84f4aa189ec93288a41d97f",2,"track","spotify:track:0Is8zshpnWUiFQJIYAMrQN","single","https://api.spotify.com/v1/albums/70KAbDjO08A8nfTLShbraZ","70KAbDjO08A8nfTLShbraZ","Quiet, Heavy Dreams","2020-11-27","day",6,"album","spotify:album:70KAbDjO08A8nfTLShbraZ","https://open.spotify.com/album/70KAbDjO08A8nfTLShbraZ","USWB12004710","https://open.spotify.com/track/0Is8zshpnWUiFQJIYAMrQN","country",0.77,0.403,0,-6.039,0,0.0445,0.548,0,0.106,0.658,99.428,"audio_features","spotify:track:0Is8zshpnWUiFQJIYAMrQN","https://api.spotify.com/v1/tracks/0Is8zshpnWUiFQJIYAMrQN","https://api.spotify.com/v1/audio-analysis/0Is8zshpnWUiFQJIYAMrQN",197227,4,"country",NA
